gwas,specificity_id,annotation,beta,beta_se,pvalue
TSCFocal,TSCFocal,VIP_CRH,0.09264154314134508,0.04942033251719608,0.030436894996379117
TSCFocal,TSCFocal,VIP_CBLN1,0.08653068640965614,0.05691255901495265,0.06421478214430634
TSCFocal,TSCFocal,ID2_LAMP5_NMBR,0.07899558584104688,0.05386228723413004,0.07125084936001383
TSCFocal,TSCFocal,SST_ISOC_THSD7B,0.08490952629879077,0.058024130462497985,0.07169732983466792
TSCFocal,TSCFocal,SST_TH,0.08345364144399346,0.057700362592605005,0.07405391495784876
TSCFocal,TSCFocal,PVALB_UNC5B,0.0696286883683397,0.05138684923766646,0.08772132197483698
TSCFocal,TSCFocal,SST_STK32A,0.06679424683139683,0.05077041328598586,0.0941627375650538
TSCFocal,TSCFocal,ID2_LAMP5_NOS1,0.0596585382773992,0.04789999641535125,0.10648799065883563
TSCFocal,TSCFocal,VIP_SEMA3C,0.06381235806281266,0.05294295849012813,0.1140532546517516
TSCFocal,TSCFocal,ID2_CHRNA7_NCKAP5,0.0626909653244189,0.05328550068747128,0.11970549633929575
TSCFocal,TSCFocal,VIP_ABI3BP,0.0505867916687927,0.04426416419361533,0.1265626704119775
TSCFocal,TSCFocal,VIP_TYR,0.05399415737901279,0.05241091796733048,0.1514651094090296
TSCFocal,TSCFocal,VIP_NRG1,0.045337455009359456,0.04660705535693212,0.1653448965239342
TSCFocal,TSCFocal,SST_NPY,0.05446840721808476,0.06101532160705402,0.1860165272232145
TSCFocal,TSCFocal,SST_TAC3,0.03759784715264202,0.04998425682580605,0.22597363895051295
TSCFocal,TSCFocal,PVALB_LGR5,0.034593706664562934,0.04638156125329982,0.2278852013373063
TSCFocal,TSCFocal,ID2_CHRNA7_CNR1,0.024405535222597686,0.05804441025420319,0.33707682611104617
TSCFocal,TSCFocal,PVALB_MEPE,0.017685863764496254,0.0429727713005202,0.3403342376135272
TSCFocal,TSCFocal,VIP_TRPM3_SSTR1,0.02282235411050692,0.05616517467255448,0.3422482405668954
TSCFocal,TSCFocal,L5_6_FEZF2_TLE4_HTR2C,0.0042804695734854755,0.039697090728981886,0.4570667277992433
TSCFocal,TSCFocal,Neu_dev_THY1,0.004308201749889854,0.06281242761887305,0.4726591335861884
TSCFocal,TSCFocal,SST_NOS1,0.0030572381055622125,0.04910325913979525,0.47517777783882903
TSCFocal,TSCFocal,SST_CALB1,0.0014022910263830756,0.0484133532042922,0.4884464748721403
TSCFocal,TSCFocal,L5_6_THEMIS_SEMA3A,-0.008395919009127754,0.042293889981062975,0.5786769863476672
TSCFocal,TSCFocal,PVALB_BTBD11,-0.01177380966611544,0.04446373641527805,0.6044146407577431
TSCFocal,TSCFocal,ID2_LAMP5_CRH,-0.013503236319660291,0.04380940937699776,0.6210428282337181
TSCFocal,TSCFocal,L5_6_THEMIS_NR4A2_NTNG2,-0.04264320130245625,0.052225750894713534,0.7928906802612496
TSCFocal,TSCFocal,L2_3_CUX2_FREM3_NTNG1,-0.04788820935345702,0.05055085294107771,0.8282557804605911
TSCFocal,TSCFocal,L4_RORB_SCHLAP1_MET,-0.039344754787146274,0.039466695457801126,0.8405872890587013
TSCFocal,TSCFocal,L2_CUX2_LAMP5_PDGFD,-0.04953465398034823,0.04174672472792308,0.8822876370812252
TSCFocal,TSCFocal,L4_RORB_SCHLAP1_MME,-0.06187964901613342,0.04709784601213785,0.9055413222820604
TSCFocal,TSCFocal,L4_RORB_SCHLAP1_ARHGAP15,-0.06526531974390813,0.049000013796470995,0.9085499302275956
TSCFocal,TSCFocal,TBD,-0.09997138976544864,0.07123386821709841,0.9197437487634028
TSCFocal,TSCFocal,L3_CUX2_SPOCK3_PRSS12,-0.06442206431341327,0.04526365973840071,0.9226587174440748
TSCFocal,TSCFocal,L5_6_FEZF2_TLE4_SCUBE1,-0.06853854345081167,0.0390084395262495,0.9605316437493626
TSCFocal,TSCFocal,L5_6_FEZF2_TLE4_ABO,-0.07782107878263878,0.041305036339969715,0.97021099324634
TSCFocal,TSCFocal,L5_6_FEZF2_LRRK1_SEMA3E,-0.1105545823855174,0.05178461925138874,0.9836063698495784
TSCFocal,TSCFocal,ID2_CHRNA7_PAX6,-0.11833201748198854,0.054895453062472815,0.9844335409164238
TSCFocal,TSCFocal,L5_6_FEZF2_LRRK1_PCP4,-0.09933599004903934,0.0412832582729627,0.9919339075408452
TSCFocal,TSCFocal,ID2_LAMP5_MEIS2,-0.16523616891642606,0.05796548896132545,0.9978149151920648
