gwas,specificity_id,annotation,beta,beta_se,pvalue
TSCGeneralized,TSCGeneralized,L5_6_FEZF2_TLE4_HTR2C,0.044325966718788884,0.04708997103195348,0.17328279187956466
TSCGeneralized,TSCGeneralized,SST_NPY,-0.016067249839813915,0.07236911391651306,0.5878484538351116
TSCGeneralized,TSCGeneralized,SST_STK32A,-0.017077210772687142,0.06023151490843447,0.6116111260984036
TSCGeneralized,TSCGeneralized,SST_NOS1,-0.01725369323965897,0.05825019491896604,0.6164590169311206
TSCGeneralized,TSCGeneralized,PVALB_MEPE,-0.01909581063044784,0.05097729176516527,0.6460160911124874
TSCGeneralized,TSCGeneralized,SST_TH,-0.025683095178782832,0.06845380272110478,0.6462370799956768
TSCGeneralized,TSCGeneralized,L4_RORB_SCHLAP1_MME,-0.029953193029964038,0.055874484960563665,0.7040440724544551
TSCGeneralized,TSCGeneralized,SST_CALB1,-0.04135450468263716,0.05743082832094245,0.7642545387940979
TSCGeneralized,TSCGeneralized,SST_ISOC_THSD7B,-0.05060768991469438,0.06883667950779064,0.7688803594724907
TSCGeneralized,TSCGeneralized,PVALB_LGR5,-0.046908161488659714,0.05502091541950278,0.8030386051181684
TSCGeneralized,TSCGeneralized,Neu_dev_THY1,-0.06798991193652587,0.07451160670790813,0.8192324869320682
TSCGeneralized,TSCGeneralized,L4_RORB_SCHLAP1_ARHGAP15,-0.0568379448468561,0.05812450010050382,0.8359210677968208
TSCGeneralized,TSCGeneralized,ID2_LAMP5_NMBR,-0.06566488743297974,0.06389299952294228,0.8479531250461673
TSCGeneralized,TSCGeneralized,L4_RORB_SCHLAP1_MET,-0.05080487629141557,0.04680787407191382,0.8611164719059254
TSCGeneralized,TSCGeneralized,L3_CUX2_SPOCK3_PRSS12,-0.05856459759333415,0.053696900778295864,0.8622773809087833
TSCGeneralized,TSCGeneralized,SST_TAC3,-0.08039007905173631,0.059285053307870574,0.912438180471105
TSCGeneralized,TSCGeneralized,ID2_LAMP5_NOS1,-0.07869086970420948,0.056784876745723224,0.9170805502952856
TSCGeneralized,TSCGeneralized,VIP_NRG1,-0.07742940675823645,0.05528685798344772,0.919307450699698
TSCGeneralized,TSCGeneralized,L2_CUX2_LAMP5_PDGFD,-0.07140409273980887,0.049521385411262664,0.9253211778436994
TSCGeneralized,TSCGeneralized,PVALB_BTBD11,-0.07760249969034491,0.05274254834687338,0.9293897938585473
TSCGeneralized,TSCGeneralized,L5_6_FEZF2_TLE4_SCUBE1,-0.0689675287223168,0.04627616718012972,0.9319220871797832
TSCGeneralized,TSCGeneralized,VIP_ABI3BP,-0.08877022509179616,0.05250680295374601,0.9545362192971172
TSCGeneralized,TSCGeneralized,VIP_SEMA3C,-0.1091080069905722,0.06280173687202928,0.9588253845392803
TSCGeneralized,TSCGeneralized,ID2_CHRNA7_NCKAP5,-0.11227049723661918,0.06320767999580508,0.9621404047899996
TSCGeneralized,TSCGeneralized,L5_6_FEZF2_LRRK1_SEMA3E,-0.11495470311806312,0.06143389574118133,0.9693303630697158
TSCGeneralized,TSCGeneralized,PVALB_UNC5B,-0.12191640552389445,0.06095449325185458,0.9772467237103376
TSCGeneralized,TSCGeneralized,VIP_CBLN1,-0.1359887194081124,0.06751021682500467,0.978003605192858
TSCGeneralized,TSCGeneralized,ID2_CHRNA7_CNR1,-0.14291500896700113,0.06884698823321264,0.9810362327048396
TSCGeneralized,TSCGeneralized,VIP_TRPM3_SSTR1,-0.1392926130321315,0.06661616876397197,0.9817256988075695
TSCGeneralized,TSCGeneralized,L5_6_THEMIS_SEMA3A,-0.10495819906382127,0.05016442684895623,0.9817843644881966
TSCGeneralized,TSCGeneralized,ID2_LAMP5_MEIS2,-0.1442683417689831,0.06877301966196389,0.9820272055160941
TSCGeneralized,TSCGeneralized,VIP_CRH,-0.12684544423121633,0.05862424345233753,0.9847479251608778
TSCGeneralized,TSCGeneralized,L5_6_FEZF2_LRRK1_PCP4,-0.1213819224905692,0.04897312182122402,0.9933980730051978
TSCGeneralized,TSCGeneralized,ID2_CHRNA7_PAX6,-0.16996021032970793,0.06511640519729253,0.9954693320651509
TSCGeneralized,TSCGeneralized,VIP_TYR,-0.17090796344936482,0.06215957290224474,0.9970118611544944
TSCGeneralized,TSCGeneralized,TBD,-0.2586346419014632,0.0844812943488386,0.9988965310172024
TSCGeneralized,TSCGeneralized,ID2_LAMP5_CRH,-0.16257376288614814,0.0519504809581517,0.9991223645897004
TSCGeneralized,TSCGeneralized,L5_6_THEMIS_NR4A2_NTNG2,-0.1949120161831364,0.061934026034271984,0.999173739446126
TSCGeneralized,TSCGeneralized,L5_6_FEZF2_TLE4_ABO,-0.15500275112468473,0.048988532127603214,0.999220404864706
TSCGeneralized,TSCGeneralized,L2_3_CUX2_FREM3_NTNG1,-0.19320150209811654,0.059947240481105765,0.9993639459571112
