Neurosurgical DEG;Postmortem DEG
FOS;RNR2
FOSB;BCYRN1
JUNB;RPL21
GADD45B;RPL31
UBC;TMA7
GADD45G;MINOS1
SNORA12;USMG5
JUN;RPS19
USP32P2;RPL34
NPIPB3;RPL37A
EGR1;LOC105379510
CIART;RPL7
C12orf79;UQCRH
HSPA1L;FTH1P20
HSPA1B;RPS28P7
SLC3A1;ATP5I
NPAS4;COX7C
ARC;RPL32
LOC101929675;RPS18
TMEM259;ATP5J
EVC;ATP5E
CTNNA1;RPL38
HSPA1A;RPL27A
NPIPB5;MYEOV2
TEX14;RPS20
PKD1P1;ZDHHC11
DUSP1;RPL35A
ADAMTSL4-AS1;RPL26
CDC37;RPS27
BAIAP2;RPS14
PPP1R15A;SEPT7
LOC105379028;FTH1
SLC2A3;RPL9P8
HIST1H2BD;RPL36
VSIG2;SLIRP
LOC102724068;UQCRB
LOC105376065;NGFRAP1
FADS3;RPL41
DOC2A;TMSB4X
SLC7A5;CCNI
CAMKK1;RPS27A
TSPYL2;RPL13A
LOC105371692;RPL9
PER1;SEPW1
LOC105376066;RPLP1
SULT1A1;CYCS
CPNE7;RPL23A
LOC105372993;BEX1
COG1;RPL17
RASD1;RPL14
FSCN1;TOMM20
ARRDC3;RPL35
RBPMS;UQCR11
LUC7L2;RPS29
RPS26P51;RPL15
PDE2A;PEG3
LOC286083;C5orf63
STK40;DYNLL1
ELFN2;CALM2
LRIG1;NDUFA1
RHOT2;SEC62
RAP1GAP;COX6C
KIAA0930;HINT1
PRKCZ;POMP
ULK3;COX2
EIF4A3;LINC00599
LOC105373942;RGS4
CTSH;SCOC
APEX1;UQCR10
RAPGEFL1;GAP43
KCNQ1;RPS3A
CENPT;FAM118A
ENPP7P2;RPS28
ACADVL;NGRN
LOC101926935;HIVEP2
ABR;THUMPD3-AS1
DAGLB;RPS15
MAMSTR;CAMK2N1
AGAP3;SPRED1
CEP72;NEDD8
DPH1;TOMM5
BRD4;NDUFB2
PKD2L2;B3GALT2
LOC105375217;RPL39
SLC6A6;ND2
POMT1;RPS10
NAPA;TMSB10
LRCH4;RPS8
UNC5B;RPL37
RELL2;LINC00657
IFITM10;MIR100HG
RGS11;COX6B1
NFE2L3;RPL24
CBWD6;LOC105373513
GRIK3;NDUFS5
NCOR2;RPL18A
TMEM145;RPS4X
DBN1;FTL
RRP7BP;SERPINI1
FAM65C;RBX1
TMEM123;UGP2
NOL4L;NENF
TRABD;RPL27
C19orf66;NRSN1
MMP17;CAP2
SSBP4;ARL6IP1
IL34;FKBP3
FBXO44;RPS7
GRIK4;PRNP
TMEM175;OLFM1
CDC123;RPS3
USP3;PNMA2
FSTL3;RPS21
CCNL2;RPS23
AGPAT4-IT1;RPS6
CTIF;ATP5J2
SSBP3;RNR1
SMG6;COX17
PCNT;RPL36AL
PPARGC1B;BEX5
SDR39U1;NDUFA4
CES4A;TXN
PACS2;EEF1A1
BCKDK;DIRAS2
CHST11;ELAVL4
ACTB;TMEM167A
MAPRE3;RN7SK
GRASP;MT3
P4HTM;ETV1
B4GALNT3;NDUFA12
BCR;SUMO2
MEGF11;COX6A1
PLXNA2;ST8SIA3
STX1A;RPL12
SH3GL1;AKAP11
STAG3L5P-PVRIG2P-PILRB;NDUFB1
TUB;SNHG6
MAP3K14;FAM200B
ANKRD11;TOMM7
INSL6;RPS24
MEIS3;NAP1L2
GIT1;RPL8
SPSB3;RPS17
QTRT1;NDUFC1
SLC9A1;OAZ1
PSRC1;C11orf31
LINC00673;ANKRD26P3
KAT2A;BEX2
RAB26;KCNA2
SYT12;NUCKS1
RASAL1;BRK1
XYLT1;C14orf2
MIR5047;BEX4
LOC105372449;SPRED2
CAPZB;PET100
SGSM2;HIGD1A
MAMLD1;ANKRD20A4
TSNARE1;TMEM14A
ZMIZ1;RPS13
LOC105369826;RPL11
RPS6KA5;NDUFB3
RASGEF1C;SRP14
MFSD10;RPS27L
MAP3K12;SUB1
PCDH1;COX7A2
EFHD2;DYNLT3
UNC5A;ATP5H
CDK10;HNRNPA3
ECE1;SCN2B
HACD4;POLR2K
BRSK2;TUBA1B
PPP1R13B;RPSA
CDC34;CREG2
RHBDD3;RPS15A
TSTA3;ATP5L
PPP1R37;RPS12
ATP13A1;C18orf32
USP2;MRPL33
E4F1;COX7A1
TRMT1;ENY2
RASL10A;RPL3
VCP;MRPL51
LOC146880;FAM3C
ID2;C3orf14
RAD54L2;PNMAL1
PGBD5;COX16
FHL1;C2orf74
KLHL29;GUCY1B3
WDFY2;CSTF3
MLST8;COX8A
PYGB;MORF4L1
DENND6B;GABRG2
PGAP3;RPL19
ADAMTS16;RNF7
NOXA1;UQCRQ
STK32C;USP32P1
PER3;TAF1D
DLGAP4;HOPX
CFAP20;POLR2I
NT5DC3;ARPP19
TMEM231;RPL6
SH2B3;TCEAL1
KCND3;ND4
NPTXR;PGM2L1
MIB2;STMN2
SDF4;LOC100505715
LINC01410;C1orf61
SHISA7;OIP5-AS1
UNC45A;COX1
NDUFV1;HNRNPU-AS1
CAMKV;ANAPC16
FLYWCH1;LAMTOR5
ASL;LOC101929544
RALGDS;GPR22
RNF216;SERF2
FAM163B;RPS11
NFX1;OTUD6B-AS1
PTCH2;PRKAR1A
AKAP8L;COX3
PITPNM2;NAP1L5
TMEM63C;NDUFA5
LOC155060;HIVEP1
ATF6B;COA3
LOC401320;KRT10
CCBE1;UBL5
STARD4-AS1;ATP6V1G1
DNAJC11;HSBP1
LOC105374505;TSPYL1
DPP7;TCEAL2
PHLDB1;SNRNP27
CCNL1;RPL30
ADAMTS10;TPT1
HGSNAT;IPCEF1
HS3ST2;LOC101926941
UCKL1;SMDT1
CYHR1;TXNL4A
PREB;SYT13
RAB40C;SNX3
CALN1;TMEM160
SMPD3;COX14
HGS;PIK3CA
RAB11FIP4;GUK1
TMEM120B;SNRPD2
KDM4B;CDK5R1
TMEM184B;TMEM246
LINC00925;CYTB
DDX58;LSM3
CRY1;TMEM261
M6PR;ENSA
DDX41;UBE2V2
MLXIP;DANCR
CDK5RAP3;FAM200A
SLC29A1;C4orf3
IQSEC2;INPP5F
REC114;RPL18
NOS1AP;COX5B
ZNF76;DYNLRB1
EFCAB6;CMAS
MED15;RPL13
HM13;NEUROD6
KCNQ1OT1;UBA52
FAT2;ATP5O
IGFL4;LOC105374509
CRY2;RAD21
MAPK14;LIG4
DVL3;IMPAD1
RIPK1;SYCE1
ANKRD54;LOC105375666
ERCC3;TXNDC15
CRMP1;LOC100505797
FAM65B;GTF3A
MED27;FIS1
VSTM2B;OST4
GPC6;ATXN7L3B
KIAA0226;GABRA4
ZNF75A;RPS19BP1
ROGDI;BEND6
LINC01578;NDUFA6
QARS;ARF3
ZNF14;SRP9
LOC105378215;ND1
PLK2;C12orf76
GALNT16;RPS16
ACO2;TCEB1
RHBDL1;LINC00672
NKAIN3;RPL5
SARM1;ANAPC13
NEURL1;PDCD5
RPTOR;KPNA5
KLHDC4;GPX4
AP1G2;PGRMC2
MYRFL;LRRN3
DLGAP3;AK3
NOP2;LOC100131564
H3F3B;RNF11
ACTG1;SNHG3
LIPE-AS1;VWC2
NPHP4;RPH3A
MVB12B;RPL23
CERS5;TCEAL4
ECT2L;C11orf74
MMP24;NEFL
MTHFD1L;PCNP
GDAP1L1;KRT222
IST1;SMIM17
ACAA1;SPCS3
HIRA;FKBP2
DUS1L;HDDC2
RSPH4A;ETV5
GOLGA1;NAPB
GFPT2;TOMM6
ACD;CBX5
MAU2;OMG
TUBA4A;MKKS
NIM1K;CHCHD7
HMOX2;MAGI2-AS3
CAMSAP1;ARL6IP5
BZW2;TMED2
WIPF3;BRI3BP
IRS2;C8orf46
POLQ;NAP1L3
TMEM43;SERINC3
NPRL2;TCEAL8
TSEN54;CAMLG
EIF2AK3;MZT1
GMDS-AS1;CISD2
MTMR4;LINC00493
DDHD2;WWP1
ZFAND2B;ATP6V1G2
OXA1L;TMEM55A
CCNH;EPDR1
PSMC2;NACA
;MRPS18C
;ENPP4
;ARL8B
;MRPS31
;PGRMC1
;SYT4
;CXXC4
;PCSK1
;MAP1LC3B
;GABARAPL2
;EID1
;TMEM106B
;ZNF540
;C8orf59
;NIPSNAP3A
;SUMO1
;C1orf43
;MOCS2
;ATP5G3
;MAL2
;FAM217B
;GNG3
;SAP18
;IPO8
;WRB
;H2AFV
;APIP
;GMFB
;DPH6-AS1
;LDHB
;ZCRB1
