Sample,Bin,CUX2,RORB,FEZF2,CUX2+RORB,RORB+FEZF2,CUX2+FEZF2,DAPI
control-01,1,25,0,0,0,0,0,241
control-01,2,39,0,0,0,0,0,260
control-01,3,4,33,0,6,0,0,272
control-01,4,1,76,22,0,10,0,407
control-01,5,1,14,32,0,2,0,296
control-01,6,1,2,15,0,0,0,324
control-01,7,0,0,11,0,0,0,272
control-02,1,27,0,0,0,0,0,255
control-02,2,95,1,0,2,0,0,444
control-02,3,51,10,0,24,0,0,311
control-02,4,15,94,0,22,5,0,441
control-02,5,0,64,15,0,66,0,428
control-02,6,8,1,21,0,1,3,331
control-02,7,1,2,14,0,1,0,314
control-03,1,6,0,1,0,0,0,322
control-03,2,116,0,3,0,0,0,370
control-03,3,56,1,0,23,0,0,327
control-03,4,26,29,0,40,0,0,345
control-03,5,4,64,11,6,28,7,391
control-03,6,0,10,13,0,12,0,314
control-03,7,1,0,12,0,0,0,348
control-04,1,23,0,1,0,0,0,233
control-04,2,156,1,0,5,0,0,382
control-04,3,22,20,0,13,0,0,237
control-04,4,4,48,0,5,0,0,250
control-04,5,3,87,1,1,16,0,391
control-04,6,0,15,13,0,24,0,345
control-04,7,0,0,11,0,2,0,311
control-05,1,7,0,0,0,0,0,102
control-05,2,20,0,0,0,0,0,192
control-05,3,128,0,0,0,0,0,358
control-05,4,48,1,0,10,0,0,355
control-05,5,7,36,0,22,0,0,330
control-05,6,1,56,19,0,25,0,384
control-05,7,0,8,12,0,1,0,332
tsc-01,1,23,0,2,0,0,0,237
tsc-01,2,28,1,0,0,0,0,240
tsc-01,3,14,8,1,4,4,0,228
tsc-01,4,7,13,14,4,15,0,247
tsc-01,5,12,3,3,0,8,8,176
tsc-01,6,5,0,1,1,0,2,199
tsc-01,7,11,0,1,0,1,1,201
tsc-04,1,0,2,4,0,0,0,472
tsc-04,2,0,7,6,0,1,0,582
tsc-04,3,0,2,2,0,1,0,517
tsc-04,4,0,0,2,0,0,0,558
tsc-04,5,1,4,4,0,0,0,596
tsc-04,6,1,3,4,0,0,0,589
tsc-04,7,0,2,6,0,5,0,616
tsc-05,1,0,0,0,0,0,0,664
tsc-05,2,10,1,0,0,0,0,420
tsc-05,3,17,7,1,1,0,0,429
tsc-05,4,4,34,3,6,9,0,505
tsc-05,5,3,30,48,0,13,0,569
tsc-05,6,0,6,22,0,8,3,431
tsc-05,7,4,1,13,0,4,1,451
tsc-08,1,10,0,0,0,0,0,366
tsc-08,2,78,0,0,0,0,0,274
tsc-08,3,24,1,2,8,0,0,301
tsc-08,4,6,29,0,11,0,0,331
tsc-08,5,0,33,33,0,16,0,408
tsc-08,6,0,13,32,1,8,0,457
tsc-08,7,0,6,15,0,0,0,467
tsc-09,1,26,0,0,0,0,0,378
tsc-09,2,42,0,0,0,0,0,349
tsc-09,3,8,7,0,29,0,0,302
tsc-09,4,5,68,12,22,29,0,430
tsc-09,5,2,8,17,2,14,0,341
tsc-09,6,2,6,17,2,4,1,317
tsc-09,7,2,1,11,2,5,0,323
